Retailer,Retailer ID,Invoice Date,Region,State,Product,Price per Unit,Units Sold,Operating Margin,Sales Method,Total Sales,Operating Profit
Walmart,1197831,2020-08-10,South,Texas,Men's Apparel,45.0,525,0.3,Outlet,23625.0,7087.5
Walmart,1197831,2020-08-11,South,Texas,Women's Apparel,40.0,800,0.5,Outlet,32000.0,16000.0
Walmart,1197831,2020-08-12,South,Texas,Men's Street Footwear,30.0,925,0.35,Outlet,27750.0,9712.5
Walmart,1197831,2020-08-13,South,Texas,Men's Athletic Footwear,40.0,925,0.35,Outlet,37000.0,12950.0
Walmart,1197831,2020-08-14,South,Texas,Women's Street Footwear,35.0,775,0.35,Outlet,27125.0,9493.75
Walmart,1197831,2020-08-15,South,Texas,Women's Athletic Footwear,40.0,700,0.45,Outlet,28000.0,12600.0
Walmart,1197831,2020-08-16,South,Texas,Men's Apparel,45.0,600,0.3,Outlet,27000.0,8100.0
Walmart,1197831,2020-08-17,South,Texas,Women's Apparel,40.0,950,0.5,Outlet,38000.0,19000.0
Walmart,1197831,2020-08-18,South,Texas,Men's Street Footwear,40.0,950,0.35,Outlet,38000.0,13300.0
Walmart,1197831,2020-08-19,South,Texas,Men's Athletic Footwear,45.0,950,0.35,Outlet,42750.0,14962.499999999998
Walmart,1197831,2020-08-20,South,Texas,Women's Street Footwear,40.0,800,0.35,Outlet,32000.0,11200.0
Walmart,1197831,2020-08-21,South,Texas,Women's Athletic Footwear,40.0,750,0.45,Outlet,30000.0,13500.0
Walmart,1197831,2020-08-22,South,Texas,Men's Apparel,45.0,650,0.3,Outlet,29250.0,8775.0
Walmart,1197831,2020-08-23,South,Texas,Women's Apparel,50.0,1000,0.5,Outlet,50000.0,25000.0
Walmart,1197831,2020-08-24,South,Texas,Men's Street Footwear,40.0,950,0.35,Outlet,38000.0,13300.0
Walmart,1197831,2020-08-25,South,Texas,Men's Athletic Footwear,45.0,950,0.35,Outlet,42750.0,14962.499999999998
Walmart,1197831,2020-08-26,South,Texas,Women's Street Footwear,40.0,1100,0.35,Outlet,44000.0,15399.999999999998
Walmart,1197831,2020-08-27,South,Texas,Women's Athletic Footwear,40.0,700,0.45,Outlet,28000.0,12600.0
Walmart,1197831,2020-08-28,South,Texas,Men's Apparel,45.0,700,0.3,Outlet,31500.0,9450.0
Walmart,1197831,2020-08-29,South,Texas,Women's Apparel,50.0,975,0.5,Outlet,48750.0,24375.0
Walmart,1197831,2020-08-30,South,Texas,Men's Street Footwear,40.0,925,0.35,Outlet,37000.0,12950.0
Walmart,1197831,2020-08-31,South,Texas,Men's Athletic Footwear,45.0,925,0.35,Outlet,41625.0,14568.749999999998
Walmart,1197831,2020-09-01,South,Texas,Women's Street Footwear,40.0,1100,0.35,Outlet,44000.0,15399.999999999998
Walmart,1197831,2020-09-02,South,Texas,Women's Athletic Footwear,40.0,650,0.45,Outlet,26000.0,11700.0
Walmart,1197831,2020-09-03,South,Texas,Men's Apparel,45.0,650,0.3,Outlet,29250.0,8775.0
Walmart,1197831,2020-09-04,South,Texas,Women's Apparel,50.0,900,0.5,Outlet,45000.0,22500.0
Walmart,1197831,2020-09-05,South,Texas,Men's Street Footwear,45.0,850,0.35,Outlet,38250.0,13387.5
Walmart,1197831,2020-09-06,South,Texas,Men's Athletic Footwear,45.0,850,0.35,Outlet,38250.0,13387.5
Walmart,1197831,2020-09-07,South,Texas,Women's Street Footwear,50.0,900,0.35,Outlet,45000.0,15749.999999999998
Walmart,1197831,2020-09-08,South,Texas,Women's Athletic Footwear,50.0,625,0.45,Outlet,31250.0,14062.5
Walmart,1197831,2020-09-09,South,Texas,Men's Apparel,45.0,625,0.3,Outlet,28125.0,8437.5
Walmart,1197831,2020-09-10,South,Texas,Women's Apparel,55.00000000000001,850,0.5,Outlet,46750.00000000001,23375.000000000004
Walmart,1197831,2020-09-11,South,Texas,Men's Street Footwear,45.0,800,0.35,Outlet,36000.0,12600.0
Walmart,1197831,2020-09-12,South,Texas,Men's Athletic Footwear,45.0,800,0.35,Outlet,36000.0,12600.0
Walmart,1197831,2020-09-13,South,Texas,Women's Street Footwear,50.0,750,0.35,Outlet,37500.0,13125.0
Walmart,1197831,2020-09-14,South,Texas,Women's Athletic Footwear,50.0,600,0.45,Outlet,30000.0,13500.0
Walmart,1197831,2020-09-15,South,Texas,Men's Apparel,45.0,575,0.3,Outlet,25875.0,7762.5
Walmart,1197831,2020-09-16,South,Texas,Women's Apparel,55.00000000000001,750,0.5,Outlet,41250.00000000001,20625.000000000004
Walmart,1197831,2020-10-20,South,Texas,Men's Street Footwear,45.0,900,0.35,Outlet,40500.0,14175.0
Walmart,1197831,2020-10-21,South,Texas,Men's Athletic Footwear,45.0,900,0.35,Outlet,40500.0,14175.0
Walmart,1197831,2020-10-22,South,Texas,Women's Street Footwear,50.0,825,0.35,Outlet,41250.0,14437.499999999998
Walmart,1197831,2020-10-23,South,Texas,Women's Athletic Footwear,50.0,675,0.45,Outlet,33750.0,15187.5
Walmart,1197831,2020-10-24,South,Texas,Men's Apparel,45.0,650,0.3,Outlet,29250.0,8775.0
Walmart,1197831,2020-10-25,South,Texas,Women's Apparel,55.00000000000001,850,0.5,Outlet,46750.00000000001,23375.000000000004
Walmart,1197831,2020-10-26,South,Texas,Men's Street Footwear,45.0,950,0.35,Outlet,42750.0,14962.499999999998
Walmart,1197831,2020-10-27,South,Texas,Men's Athletic Footwear,45.0,950,0.35,Outlet,42750.0,14962.499999999998
Walmart,1197831,2020-10-28,South,Texas,Women's Street Footwear,50.0,850,0.35,Outlet,42500.0,14874.999999999998
Walmart,1197831,2020-10-29,South,Texas,Women's Athletic Footwear,50.0,700,0.45,Outlet,35000.0,15750.0
Walmart,1197831,2020-10-30,South,Texas,Men's Apparel,45.0,650,0.3,Outlet,29250.0,8775.0
Walmart,1197831,2020-10-31,South,Texas,Women's Apparel,55.00000000000001,900,0.5,Outlet,49500.00000000001,24750.000000000004
West Gear,1128299,2020-11-01,South,Texas,Men's Street Footwear,40.0,775,0.35000000000000003,Outlet,31000.0,10850.000000000002
West Gear,1128299,2020-11-02,South,Texas,Men's Athletic Footwear,50.0,775,0.2,Outlet,38750.0,7750.0
West Gear,1128299,2020-11-03,South,Texas,Women's Street Footwear,50.0,775,0.35000000000000003,Outlet,38750.0,13562.500000000002
West Gear,1128299,2020-11-04,South,Texas,Women's Athletic Footwear,50.0,625,0.3,Outlet,31250.0,9375.0
West Gear,1128299,2020-11-05,West,California,Men's Apparel,55.00000000000001,575,0.5,Outlet,31625.000000000004,15812.500000000002
West Gear,1128299,2020-11-06,West,California,Women's Apparel,50.0,775,0.15000000000000002,Outlet,38750.0,5812.500000000001
West Gear,1128299,2020-11-07,West,California,Men's Street Footwear,40.0,825,0.35000000000000003,Outlet,33000.0,11550.000000000002
West Gear,1128299,2020-11-08,West,California,Men's Athletic Footwear,50.0,725,0.2,Outlet,36250.0,7250.0
West Gear,1128299,2020-11-09,West,California,Women's Street Footwear,50.0,725,0.35000000000000003,Outlet,36250.0,12687.500000000002
West Gear,1128299,2020-11-10,West,California,Women's Athletic Footwear,50.0,575,0.3,Outlet,28750.0,8625.0
West Gear,1128299,2020-11-11,West,California,Men's Apparel,55.00000000000001,500,0.5,Outlet,27500.000000000004,13750.000000000002
West Gear,1128299,2020-11-12,West,California,Women's Apparel,50.0,700,0.15000000000000002,Outlet,35000.0,5250.000000000001
West Gear,1128299,2020-11-13,West,California,Men's Street Footwear,50.0,850,0.35000000000000003,Outlet,42500.0,14875.000000000002
West Gear,1128299,2020-11-14,West,California,Men's Athletic Footwear,60.0,700,0.2,Outlet,42000.0,8400.0
West Gear,1128299,2020-11-15,West,California,Women's Street Footwear,60.0,700,0.35000000000000003,Outlet,42000.0,14700.000000000002
West Gear,1128299,2020-12-22,West,California,Women's Athletic Footwear,60.0,600,0.3,Outlet,36000.0,10800.0
West Gear,1128299,2020-12-23,West,California,Men's Apparel,65.0,500,0.5,Outlet,32500.0,16250.0
West Gear,1128299,2020-12-24,West,California,Women's Apparel,60.0,700,0.15000000000000002,Outlet,42000.0,6300.000000000001
West Gear,1128299,2020-12-25,West,California,Men's Street Footwear,60.0,875,0.35000000000000003,Outlet,52500.0,18375.0
West Gear,1128299,2020-12-26,West,California,Men's Athletic Footwear,65.0,675,0.2,Outlet,43875.0,8775.0
West Gear,1128299,2020-12-27,West,California,Women's Street Footwear,65.0,725,0.35000000000000003,Outlet,47125.0,16493.75
West Gear,1128299,2020-12-28,West,California,Women's Athletic Footwear,60.0,625,0.3,Outlet,37500.0,11250.0
West Gear,1128299,2020-12-29,West,California,Men's Apparel,65.0,525,0.5,Outlet,34125.0,17062.5
West Gear,1128299,2020-12-30,West,California,Women's Apparel,80.0,700,0.15000000000000002,Outlet,56000.0,8400.000000000002
West Gear,1128299,2020-12-31,West,California,Men's Street Footwear,60.0,900,0.4,Outlet,54000.0,21600.0
West Gear,1128299,2021-01-01,West,California,Men's Athletic Footwear,65.0,750,0.25,Outlet,48750.0,12187.5
West Gear,1128299,2021-01-02,West,California,Women's Street Footwear,65.0,750,0.4,Outlet,48750.0,19500.0
West Gear,1128299,2021-01-03,West,California,Women's Athletic Footwear,60.0,650,0.35,Outlet,39000.0,13650.0
West Gear,1128299,2021-01-04,West,California,Men's Apparel,65.0,550,0.55,Outlet,35750.0,19662.5
West Gear,1128299,2021-01-05,West,California,Women's Apparel,80.0,725,0.2,Outlet,58000.0,11600.0
West Gear,1128299,2021-01-06,West,California,Men's Street Footwear,60.0,975,0.4,Outlet,58500.0,23400.0
West Gear,1128299,2021-01-07,West,California,Men's Athletic Footwear,65.0,825,0.25,Outlet,53625.0,13406.25
West Gear,1128299,2021-01-08,West,California,Women's Street Footwear,65.0,825,0.4,Outlet,53625.0,21450.0
West Gear,1128299,2021-01-09,West,California,Women's Athletic Footwear,60.0,700,0.35,Outlet,42000.0,14699.999999999998
West Gear,1128299,2021-01-10,West,California,Men's Apparel,65.0,575,0.55,Outlet,37375.0,20556.25
West Gear,1128299,2021-01-11,West,California,Women's Apparel,80.0,875,0.2,Outlet,70000.0,14000.0
West Gear,1128299,2021-01-12,West,California,Men's Street Footwear,60.0,1025,0.35000000000000003,Outlet,61500.0,21525.000000000004
West Gear,1128299,2021-01-13,West,California,Men's Athletic Footwear,65.0,875,0.2,Outlet,56875.0,11375.0
West Gear,1128299,2021-01-14,West,California,Women's Street Footwear,65.0,825,0.35000000000000003,Outlet,53625.0,18768.75
West Gear,1128299,2021-01-15,West,California,Women's Athletic Footwear,60.0,725,0.3,Outlet,43500.0,13050.0
West Gear,1128299,2021-01-16,West,California,Men's Apparel,65.0,775,0.5,Outlet,50375.0,25187.5
West Gear,1128299,2021-01-17,West,California,Women's Apparel,80.0,775,0.15000000000000002,Outlet,62000.0,9300.000000000002
West Gear,1128299,2021-01-18,West,California,Men's Street Footwear,65.0,975,0.35000000000000003,Outlet,63375.0,22181.250000000004
West Gear,1128299,2021-01-19,West,California,Men's Athletic Footwear,70.0,925,0.2,Outlet,64750.0,12950.0
West Gear,1128299,2021-01-20,West,California,Women's Street Footwear,65.0,800,0.35000000000000003,Outlet,52000.0,18200.0
West Gear,1128299,2021-01-21,West,California,Women's Athletic Footwear,65.0,750,0.3,Outlet,48750.0,14625.0
West Gear,1128299,2021-01-22,West,California,Men's Apparel,75.0,750,0.5,Outlet,56250.0,28125.0
West Gear,1128299,2021-01-23,West,California,Women's Apparel,80.0,725,0.15000000000000002,Outlet,58000.0,8700.000000000002
West Gear,1128299,2021-01-24,West,California,Men's Street Footwear,55.00000000000001,925,0.30000000000000004,Outlet,50875.00000000001,15262.500000000004
West Gear,1128299,2021-01-25,West,California,Men's Athletic Footwear,60.00000000000001,925,0.15,Outlet,55500.00000000001,8325.0
West Gear,1128299,2021-01-26,West,California,Women's Street Footwear,55.00000000000001,775,0.30000000000000004,Outlet,42625.00000000001,12787.500000000004
West Gear,1128299,2021-01-27,West,California,Women's Athletic Footwear,55.00000000000001,725,0.24999999999999997,Outlet,39875.00000000001,9968.75
West Gear,1128299,2021-01-28,West,California,Men's Apparel,65.0,725,0.45000000000000007,Outlet,47125.0,21206.250000000004
West Gear,1128299,2021-01-29,West,California,Women's Apparel,70.0,775,0.1,Outlet,54250.0,5425.0
West Gear,1128299,2021-01-30,West,California,Men's Street Footwear,55.00000000000001,875,0.30000000000000004,Outlet,48125.00000000001,14437.500000000004
West Gear,1128299,2021-01-31,West,California,Men's Athletic Footwear,60.00000000000001,875,0.15,Outlet,52500.00000000001,7875.000000000001
West Gear,1128299,2021-02-01,West,California,Women's Street Footwear,55.00000000000001,700,0.30000000000000004,Outlet,38500.00000000001,11550.000000000004
West Gear,1128299,2021-02-02,West,California,Women's Athletic Footwear,55.00000000000001,675,0.24999999999999997,Outlet,37125.00000000001,9281.25
West Gear,1128299,2021-02-03,West,California,Men's Apparel,65.0,650,0.45000000000000007,Outlet,42250.0,19012.500000000004
West Gear,1128299,2021-02-04,West,California,Women's Apparel,70.0,700,0.1,Outlet,49000.0,4900.0
West Gear,1128299,2021-02-05,West,California,Men's Street Footwear,55.00000000000001,875,0.30000000000000004,Outlet,48125.00000000001,14437.500000000004
West Gear,1128299,2021-02-06,West,California,Men's Athletic Footwear,60.00000000000001,875,0.15,Outlet,52500.00000000001,7875.000000000001
West Gear,1128299,2021-02-07,West,California,Women's Street Footwear,55.00000000000001,725,0.30000000000000004,Outlet,39875.00000000001,11962.500000000004
West Gear,1128299,2021-02-08,West,California,Women's Athletic Footwear,55.00000000000001,700,0.24999999999999997,Outlet,38500.00000000001,9625.0
West Gear,1128299,2021-02-09,West,California,Men's Apparel,65.0,650,0.45000000000000007,Outlet,42250.0,19012.500000000004
West Gear,1128299,2021-02-10,West,California,Women's Apparel,70.0,775,0.1,Outlet,54250.0,5425.0
West Gear,1128299,2021-02-11,West,California,Men's Street Footwear,55.00000000000001,975,0.30000000000000004,Outlet,53625.00000000001,16087.500000000005
West Gear,1128299,2021-02-12,West,California,Men's Athletic Footwear,60.00000000000001,975,0.15,Outlet,58500.00000000001,8775.0
West Gear,1128299,2021-02-13,West,California,Women's Street Footwear,55.00000000000001,775,0.30000000000000004,Outlet,42625.00000000001,12787.500000000004
West Gear,1128299,2021-02-14,West,California,Women's Athletic Footwear,55.00000000000001,775,0.24999999999999997,Outlet,42625.00000000001,10656.25
West Gear,1128299,2021-02-15,West,California,Men's Apparel,65.0,700,0.45000000000000007,Outlet,45500.0,20475.000000000004
West Gear,1128299,2021-02-16,West,California,Women's Apparel,70.0,800,0.1,Outlet,56000.0,5600.0
Kohl's,1189833,2021-02-17,West,California,Men's Street Footwear,35.0,700,0.4,Outlet,24500.0,9800.0
Kohl's,1189833,2021-02-18,West,California,Men's Athletic Footwear,45.0,700,0.25,Outlet,31500.0,7875.0
Kohl's,1189833,2021-03-09,West,California,Women's Street Footwear,45.0,700,0.4,Outlet,31500.0,12600.0
Kohl's,1189833,2021-03-10,West,California,Women's Athletic Footwear,45.0,550,0.35,Outlet,24750.0,8662.5
Kohl's,1189833,2021-03-11,West,California,Men's Apparel,50.0,500,0.55,Outlet,25000.0,13750.000000000002
Kohl's,1189833,2021-03-12,West,California,Women's Apparel,45.0,700,0.2,Outlet,31500.0,6300.0
Kohl's,1189833,2021-03-13,West,California,Men's Street Footwear,35.0,750,0.4,Outlet,26250.0,10500.0
Kohl's,1189833,2021-03-14,West,California,Men's Athletic Footwear,45.0,650,0.25,Outlet,29250.0,7312.5
Kohl's,1189833,2021-03-15,West,California,Women's Street Footwear,45.0,675,0.4,Outlet,30375.0,12150.0
Kohl's,1189833,2021-03-16,West,California,Women's Athletic Footwear,45.0,525,0.35,Outlet,23625.0,8268.75
Kohl's,1189833,2021-03-17,West,California,Men's Apparel,50.0,450,0.55,Outlet,22500.0,12375.000000000002
Kohl's,1189833,2021-03-18,West,California,Women's Apparel,45.0,650,0.2,Outlet,29250.0,5850.0
Kohl's,1189833,2021-03-19,West,California,Men's Street Footwear,35.0,800,0.4,Outlet,28000.0,11200.0
Kohl's,1189833,2021-03-20,West,California,Men's Athletic Footwear,45.0,650,0.25,Outlet,29250.0,7312.5
Kohl's,1189833,2021-03-21,West,California,Women's Street Footwear,45.0,650,0.4,Outlet,29250.0,11700.0
Kohl's,1189833,2021-03-22,West,California,Women's Athletic Footwear,45.0,550,0.35,Outlet,24750.0,8662.5
Kohl's,1189833,2021-03-23,West,California,Men's Apparel,50.0,425,0.55,Outlet,21250.0,11687.500000000002
Kohl's,1189833,2021-04-06,West,California,Women's Apparel,45.0,625,0.2,Outlet,28125.0,5625.0
